,school_name,school_distrct,MO_raniking,national_ranking,city,state,zipcode,full_address,phone_number,school_page_link_usn
117,Sullivan Sr. High,Sullivan,118,"9,468",Sullivan,MO,63080,"1073 E Vine St, Sullivan, Missouri 63080",(573) 468-5171,https://www.usnews.com//education/best-high-schools/missouri/districts/sullivan/sullivan-sr-high-11962
118,Valley Park Sr. High,Valley Park,119,"9,483",Valley Park,MO,63088,"1 Main St, Valley Park, Missouri 63088",(636) 923-3613,https://www.usnews.com//education/best-high-schools/missouri/districts/valley-park/valley-park-sr-high-11979
119,Fredericktown High,Fredericktown R-I,120,"9,484",Fredericktown,MO,63645,"805 E Hwy 72, Fredericktown, Missouri 63645",(573) 783-3628,https://www.usnews.com//education/best-high-schools/missouri/districts/fredericktown-r-i/fredericktown-high-11626
120,Kickapoo High,Springfield R-Xii,121,"9,527",Springfield,MO,65807,"3710 S Jefferson, Springfield, Missouri 65807",(417) 523-8500,https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/kickapoo-high-11925
121,Southern Boone High,Southern Boone Co. R-I,122,"9,615",Ashland,MO,65010,"14520 Crump Ln, Ashland, Missouri 65010",(573) 657-2144,https://www.usnews.com//education/best-high-schools/missouri/districts/southern-boone-co-r-i/southern-boone-high-11915
122,Couch High,Couch R-I,123,"9,791",Myrtle,MO,65778,"Rte 1 Box 1187, Myrtle, Missouri 65778",(417) 938-4212,https://www.usnews.com//education/best-high-schools/missouri/districts/couch-r-i/couch-high-11580
123,McDonald County High,Mcdonald Co. R-I,124,"9,816",Anderson,MO,64831,"100 Mustang Dr, Anderson, Missouri 64831",(417) 845-3322,https://www.usnews.com//education/best-high-schools/missouri/districts/mcdonald-co-r-i/mcdonald-county-high-11762
124,Pilot Grove High,Pilot Grove C-4,125,"10,019",Pilot Grove,MO,65276,"107 School St, Pilot Grove, Missouri 65276",(660) 834-4415,https://www.usnews.com//education/best-high-schools/missouri/districts/pilot-grove-c-4/pilot-grove-high-11845
125,Hermann High,Gasconade Co. R-I,126,"10,037",Hermann,MO,65041,"176 Bearcat Crossing, Hermann, Missouri 65041",(573) 486-5425,https://www.usnews.com//education/best-high-schools/missouri/districts/gasconade-co-r-i/hermann-high-11658
126,Knox Co. High,Knox Co. R-I,127,"10,093",Edina,MO,63537,"55701 State Hwy 6, Edina, Missouri 63537",(660) 397-2231,https://www.usnews.com//education/best-high-schools/missouri/districts/knox-co-r-i/knox-co-high-11601
127,Eldon High,Eldon R-I,128,"10,119",Eldon,MO,65026,"101 S Pine St, Eldon, Missouri 65026",(573) 392-8010,https://www.usnews.com//education/best-high-schools/missouri/districts/eldon-r-i/eldon-high-11603
128,Potosi High,Potosi R-III,129,"10,136",Potosi,MO,63664,"1 Trojan Dr, Potosi, Missouri 63664",(573) 438-2156,https://www.usnews.com//education/best-high-schools/missouri/districts/potosi-r-iii/potosi-high-11854
129,North Shelby High,North Shelby,130,"10,149",Shelbyville,MO,63469,"3071 Hwy 15, Shelbyville, Missouri 63469",(573) 633-2410,https://www.usnews.com//education/best-high-schools/missouri/districts/north-shelby/north-shelby-high-11904
130,Pacific High,Meramec Valley R-III,131,"10,271",Pacific,MO,63069,"425 Indian Warpath Dr, Pacific, Missouri 63069",(636) 271-1414,https://www.usnews.com//education/best-high-schools/missouri/districts/meramec-valley-r-iii/pacific-high-11826
131,Festus Sr. High,Festus R-Vi,132,"10,297",Festus,MO,63028,"501 Westwind Dr, Festus, Missouri 63028",(636) 937-5410,https://www.usnews.com//education/best-high-schools/missouri/districts/festus-r-vi/festus-sr-high-11619
132,Neelyville High,Neelyville R-Iv,133,"10,338",Neelyville,MO,63954,"289 Broadway St, Neelyville, Missouri 63954",(573) 989-3815,https://www.usnews.com//education/best-high-schools/missouri/districts/neelyville-r-iv/neelyville-high-11785
133,Warrensburg High,Warrensburg R-Vi,134,"10,435",Warrensburg,MO,64093,"1411 S Ridgeview Dr, Warrensburg, Missouri 64093",(660) 747-2262,https://www.usnews.com//education/best-high-schools/missouri/districts/warrensburg-r-vi/warrensburg-high-11988
134,Owensville High,Gasconade Co. R-II,135,"10,442",Owensville,MO,65066,"3336 Hwy 19, Owensville, Missouri 65066",(573) 437-2174,https://www.usnews.com//education/best-high-schools/missouri/districts/gasconade-co-r-ii/owensville-high-11823
135,Marshfield High,Marshfield R-I,136,"10,455",Marshfield,MO,65706,"370 State Hwy Dd, Marshfield, Missouri 65706",(417) 859-2120,https://www.usnews.com//education/best-high-schools/missouri/districts/marshfield-r-i/marshfield-high-11759
136,Grandview Sr. High,Grandview C-4,137,"10,474",Grandview,MO,64030,"2300 High Grove Rd, Grandview, Missouri 64030",(816) 316-5800,https://www.usnews.com//education/best-high-schools/missouri/districts/grandview-c-4/grandview-sr-high-11637
137,New Haven High,New Haven,138,"10,491",New Haven,MO,63068,"100 Park Dr, New Haven, Missouri 63068",(573) 237-2629,https://www.usnews.com//education/best-high-schools/missouri/districts/new-haven/new-haven-high-11792
138,Community High,Community R-Vi,139,"10,514",Laddonia,MO,63352,"35063 Hwy Bb, Laddonia, Missouri 63352",(855) 708-7567,https://www.usnews.com//education/best-high-schools/missouri/districts/community-r-vi/community-high-11576
139,Jefferson City High,Jefferson City,140,"10,518",Jefferson City,MO,65101,"609 Union, Jefferson City, Missouri 65101",(573) 659-3050,https://www.usnews.com//education/best-high-schools/missouri/districts/jefferson-city/jefferson-city-high-11689
140,Wright City High,Wright City R-II Of Warren Co.,141,"10,520",Wright City,MO,63390,"520 Westwoods Rd, Wright City, Missouri 63390",(636) 745-7500,https://www.usnews.com//education/best-high-schools/missouri/districts/wright-city-r-ii-of-warren-co/wright-city-high-12017
141,Eminence High,Eminence R-I,142,"10,580",Eminence,MO,65466,"505 South 6th Street, Eminence, Missouri 65466",(573) 226-3252,https://www.usnews.com//education/best-high-schools/missouri/districts/eminence-r-i/eminence-high-11605
142,Morgan Co. High,Morgan Co. R-II,143,"10,621",Versailles,MO,65084,"913 W Newton, Versailles, Missouri 65084",(573) 378-4697,https://www.usnews.com//education/best-high-schools/missouri/districts/morgan-co-r-ii/morgan-co-high-11984
143,Blair Oaks High,Blair Oaks R-II,144,"10,726",Jefferson City,MO,65101,"6124 Falcon Ln, Jefferson City, Missouri 65101",(573) 635-8514,https://www.usnews.com//education/best-high-schools/missouri/districts/blair-oaks-r-ii/blair-oaks-high-11575
144,Orchard Farm Sr. High,Orchard Farm R-V,145,"10,782",St Charles,MO,63301,"2175 Hwy V, St Charles, Missouri 63301",(636) 250-5400,https://www.usnews.com//education/best-high-schools/missouri/districts/orchard-farm-r-v/orchard-farm-sr-high-11817
145,Niangua High,Niangua R-V,146,"10,798",Niangua,MO,65713,"301 Rumsey St, Niangua, Missouri 65713",(417) 473-6101,https://www.usnews.com//education/best-high-schools/missouri/districts/niangua-r-v/niangua-high-11795
146,Bakersfield High,Bakersfield R-Iv,147,"10,810",Bakersfield,MO,65609,"357 State Hwy O, Bakersfield, Missouri 65609",(417) 284-3744,https://www.usnews.com//education/best-high-schools/missouri/districts/bakersfield-r-iv/bakersfield-high-11501
147,South Callaway High,South Callaway Co. R-II,148,"10,831",Mokane,MO,65059,"10135 State Rd C, Mokane, Missouri 65059",(573) 676-5225,https://www.usnews.com//education/best-high-schools/missouri/districts/south-callaway-co-r-ii/south-callaway-high-11911
148,Salem Sr. High,Salem R-80,149,"10,846",Salem,MO,65560,"1400 Tiger Pride Dr, Salem, Missouri 65560",(573) 729-6642,https://www.usnews.com//education/best-high-schools/missouri/districts/salem-r-80/salem-sr-high-11891
149,Green City High,Green City R-I,150,"10,910",Green City,MO,63545,"301 N East St, Green City, Missouri 63545",(660) 874-4127,https://www.usnews.com//education/best-high-schools/missouri/districts/green-city-r-i/green-city-high-11639
150,Carl Junction High School,Carl Junction R-I,151,"10,936",Carl Junction,MO,64834,"206 S Roney, Carl Junction, Missouri 64834",(417) 649-7081,https://www.usnews.com//education/best-high-schools/missouri/districts/carl-junction-r-i/carl-junction-high-school-11548
151,Mansfield High,Mansfield R-Iv,152,"10,961",Mansfield,MO,65704,"315 W Ohio St, Mansfield, Missouri 65704",(417) 924-3236,https://www.usnews.com//education/best-high-schools/missouri/districts/mansfield-r-iv/mansfield-high-11751
152,Union High,Union R-Xi,153,"10,974",Union,MO,63084,"1217 West Main, Union, Missouri 63084",(636) 583-2513,https://www.usnews.com//education/best-high-schools/missouri/districts/union-r-xi/union-high-11976
153,Morgan Co. R-I High,Morgan Co. R-I,154,"11,090",Stover,MO,65078,"701 N Oak St, Stover, Missouri 65078",(573) 377-2218,https://www.usnews.com//education/best-high-schools/missouri/districts/morgan-co-r-i/morgan-co-r-i-high-11959
154,Alton High,Alton R-Iv,155,"11,128",Alton,MO,65606,"Route 2 Box 2180, Alton, Missouri 65606",(417) 778-7215,https://www.usnews.com//education/best-high-schools/missouri/districts/alton-r-iv/alton-high-11493
155,Northwest High,Pettis Co. R-V,156,"11,197",Hughesville,MO,65334,"16215 Hwy H, Hughesville, Missouri 65334",(660) 827-0774,https://www.usnews.com//education/best-high-schools/missouri/districts/pettis-co-r-v/northwest-high-11671
156,Benton High,St. Joseph,157,"11,277",St Joseph,MO,64504,"5655 S Fourth, St Joseph, Missouri 64504",(816) 671-4030,https://www.usnews.com//education/best-high-schools/missouri/districts/st-joseph/benton-high-11887
157,Jefferson High School,Jefferson Co. R-Vii,158,"11,382",Festus,MO,63028,"7 Blue Jay Way, Festus, Missouri 63028",(636) 933-6900,https://www.usnews.com//education/best-high-schools/missouri/districts/jefferson-co-r-vii/jefferson-high-school-11691
158,La Plata High,La Plata R-II,159,"11,406",La Plata,MO,63549,"201 W Moore, La Plata, Missouri 63549",(660) 332-7001,https://www.usnews.com//education/best-high-schools/missouri/districts/la-plata-r-ii/la-plata-high-11717
159,Stockton High,Stockton R-I,160,"11,551",Stockton,MO,65785,"#1 Tiger Dr, Stockton, Missouri 65785",(417) 276-8806,https://www.usnews.com//education/best-high-schools/missouri/districts/stockton-r-i/stockton-high-11957
160,Bernie High,Bernie R-Xiii,161,"11,585",Bernie,MO,63822,"516 W Main, Bernie, Missouri 63822",(573) 293-5334,https://www.usnews.com//education/best-high-schools/missouri/districts/bernie-r-xiii/bernie-high-11508
161,North Harrison High,North Harrison R-III,162,"11,619",Eagleville,MO,64442,"12023 Fir St, Eagleville, Missouri 64442",(660) 867-5221,https://www.usnews.com//education/best-high-schools/missouri/districts/north-harrison-r-iii/north-harrison-high-11802
162,Van-Far Jr./Sr. High,Van-Far R-I,163,"11,668",Vandalia,MO,63382,"2200 Hwy 54 West, Vandalia, Missouri 63382",(573) 594-6442,https://www.usnews.com//education/best-high-schools/missouri/districts/van-far-r-i/van-far-jr-sr-high-11982
163,West County High,West St. Francois Co. R-Iv,164,"11,718",Park Hills,MO,63601,"768 Hwy M, Park Hills, Missouri 63601",(573) 562-7521,https://www.usnews.com//education/best-high-schools/missouri/districts/west-st-francois-co-r-iv/west-county-high-11723
164,Clearwater High,Clearwater R-I,165,"11,744",Piedmont,MO,63957,"Rte 4 Box 1004, Piedmont, Missouri 63957",(573) 223-4524,https://www.usnews.com//education/best-high-schools/missouri/districts/clearwater-r-i/clearwater-high-11570
165,Blue Eye High,Blue Eye R-V,166,"11,759",Blue Eye,MO,65611,"658 State Hwy Ee, Blue Eye, Missouri 65611",(417) 779-5331,https://www.usnews.com//education/best-high-schools/missouri/districts/blue-eye-r-v/blue-eye-high-11513
166,Skyline High,Hickory Co. R-I,167,"11,784",Urbana,MO,65767,"Rte 1 Box 838, Urbana, Missouri 65767",(417) 993-4226,https://www.usnews.com//education/best-high-schools/missouri/districts/hickory-co-r-i/skyline-high-11660
167,Lamar High,Lamar R-I,168,"11,811",Lamar,MO,64759,"202 W 7th, Lamar, Missouri 64759",(417) 682-5571,https://www.usnews.com//education/best-high-schools/missouri/districts/lamar-r-i/lamar-high-11719
168,Crest Ridge High,Johnson Co. R-Vii,169,"11,833",Centerview,MO,64019,"92 Nw 58 Hwy, Centerview, Missouri 64019",(660) 656-3391,https://www.usnews.com//education/best-high-schools/missouri/districts/johnson-co-r-vii/crest-ridge-high-11555
169,Lathrop High,Lathrop R-II,170,"11,845",Lathrop,MO,64465,"102 N School Dr, Lathrop, Missouri 64465",(816) 528-7400,https://www.usnews.com//education/best-high-schools/missouri/districts/lathrop-r-ii/lathrop-high-11721
170,Golden City High,Golden City R-III,171,"11,934",Golden City,MO,64748,"1208 Walnut St, Golden City, Missouri 64748",(417) 537-8311,https://www.usnews.com//education/best-high-schools/missouri/districts/golden-city-r-iii/golden-city-high-11635
171,Spokane High,Spokane R-Vii,172,"11,937",Spokane,MO,65754,"1123 Spokane Rd, Spokane, Missouri 65754",(417) 443-3502,https://www.usnews.com//education/best-high-schools/missouri/districts/spokane-r-vii/spokane-high-11921
172,Montgomery Co. High,Montgomery Co. R-II,173,"11,940",Montgomery City,MO,63361,"394 N Hwy 19, Montgomery City, Missouri 63361",(573) 564-2213,https://www.usnews.com//education/best-high-schools/missouri/districts/montgomery-co-r-ii/montgomery-co-high-11775
173,Laquey R-V High,Laquey R-V,174,"11,996",Laquey,MO,65534,"27600 Hwy Aa, Laquey, Missouri 65534",(573) 765-4051,https://www.usnews.com//education/best-high-schools/missouri/districts/laquey-r-v/laquey-r-v-high-11720
174,St. Elizabeth High,St. Elizabeth R-Iv,175,"12,120",St Elizabeth,MO,65075,"Hwy 52, St Elizabeth, Missouri 65075",(573) 493-2246,https://www.usnews.com//education/best-high-schools/missouri/districts/st-elizabeth-r-iv/st-elizabeth-high-11933
175,Nevada High,Nevada R-V,176,"12,150",Nevada,MO,64772,"800 W Hickory St, Nevada, Missouri 64772",(417) 448-2020,https://www.usnews.com//education/best-high-schools/missouri/districts/nevada-r-v/nevada-high-11787
176,Stoutland High,Stoutland R-II,177,"12,182",Stoutland,MO,65567,"7584 State Road T, Stoutland, Missouri 65567",(417) 286-3711,https://www.usnews.com//education/best-high-schools/missouri/districts/stoutland-r-ii/stoutland-high-11958
177,Diamond High,Diamond R-Iv,178,"12,184",Diamond,MO,64840,"401 S Main, Diamond, Missouri 64840",(417) 325-5188,https://www.usnews.com//education/best-high-schools/missouri/districts/diamond-r-iv/diamond-high-11593
178,Twin Rivers High,Twin Rivers R-X,179,"12,213",Broseley,MO,63932,"9327 Hwy 51, Broseley, Missouri 63932",(573) 328-4730,https://www.usnews.com//education/best-high-schools/missouri/districts/twin-rivers-r-x/twin-rivers-high-11975
179,Parkview High,Springfield R-Xii,180,"12,318",Springfield,MO,65807,"516 W Meadowmere, Springfield, Missouri 65807",(417) 523-9200,https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/parkview-high-11926
180,Hollister High,Hollister R-V,181,"12,333",Hollister,MO,65672,"2112 State Hwy Bb, Hollister, Missouri 65672",(417) 243-4045,https://www.usnews.com//education/best-high-schools/missouri/districts/hollister-r-v/hollister-high-11669
181,Mt. Vernon High,Mt. Vernon R-V,182,"12,454",Mt Vernon,MO,65712,"400 W Hwy 174, Mt Vernon, Missouri 65712",(417) 466-7526,https://www.usnews.com//education/best-high-schools/missouri/districts/mt-vernon-r-v/mt-vernon-high-11781
182,Iberia High,Iberia R-V,183,"12,481",Iberia,MO,65486,"201 Pemberton Dr, Iberia, Missouri 65486",(573) 793-2228,https://www.usnews.com//education/best-high-schools/missouri/districts/iberia-r-v/iberia-high-11675
183,Fatima High,Osage Co. R-III,184,"12,501",Westphalia,MO,65085,"143 E Main, Westphalia, Missouri 65085",(573) 455-2550,https://www.usnews.com//education/best-high-schools/missouri/districts/osage-co-r-iii/fatima-high-12005
184,Ste. Genevieve Sr. High,Ste. Genevieve Co. R-II,185,"12,520",Ste Genevieve,MO,63670,"715 Washington St, Ste Genevieve, Missouri 63670",(573) 883-4500,https://www.usnews.com//education/best-high-schools/missouri/districts/ste-genevieve-co-r-ii/ste-genevieve-sr-high-11953
185,Green Ridge High,Green Ridge R-Viii,186,"12,537",Green Ridge,MO,65332,"401 W Pettis St, Green Ridge, Missouri 65332",(660) 527-3315,https://www.usnews.com//education/best-high-schools/missouri/districts/green-ridge-r-viii/green-ridge-high-11640
186,Raytown South Sr. High,Raytown C-2,187,"12,554",Raytown,MO,64138,"8211 Sterling Ave, Raytown, Missouri 64138",(816) 268-7330,https://www.usnews.com//education/best-high-schools/missouri/districts/raytown-c-2/raytown-south-sr-high-11862
187,Greenfield High,Greenfield R-Iv,188,"12,619",Greenfield,MO,65661,"410 W College, Greenfield, Missouri 65661",(417) 637-5328,https://www.usnews.com//education/best-high-schools/missouri/districts/greenfield-r-iv/greenfield-high-11641
188,Charleston High,Charleston R-I,189,"12,621",Charleston,MO,63834,"606 S. Thorn St, Charleston, Missouri 63834",(573) 683-3761,https://www.usnews.com//education/best-high-schools/missouri/districts/charleston-r-i/charleston-high-11565
189,Sikeston Sr. High,Sikeston R-6,190,"12,797",Sikeston,MO,63801,"200 Pine St, Sikeston, Missouri 63801",(573) 472-8856,https://www.usnews.com//education/best-high-schools/missouri/districts/sikeston-r-6/sikeston-sr-high-11906
190,Adair Co. High,Adair Co. R-I,191-291,"12,935-17,245",Novinger,MO,63559,"600 Rombauer Ave, Novinger, Missouri 63559",(660) 488-6411,https://www.usnews.com//education/best-high-schools/missouri/districts/adair-co-r-i/adair-co-high-11812
191,Adrian Sr. High,Adrian R-III,191-291,"12,935-17,245",Adrian,MO,64720,"601 N Houston, Adrian, Missouri 64720",(816) 297-4460,https://www.usnews.com//education/best-high-schools/missouri/districts/adrian-r-iii/adrian-sr-high-11488
192,Alta Vista Charter School,Alta Vista Charter Sch.,191-291,"12,935-17,245",Kansas City,MO,64108,"1524 Paseo Blvd, Kansas City, Missouri 64108",(816) 471-2582,https://www.usnews.com//education/best-high-schools/missouri/districts/alta-vista-charter-sch/alta-vista-charter-school-11474
193,Appleton City High,Appleton City R-II,191-291,"12,935-17,245",Appleton City,MO,64724,"408 W 4th, Appleton City, Missouri 64724",(660) 476-2118,https://www.usnews.com//education/best-high-schools/missouri/districts/appleton-city-r-ii/appleton-city-high-11494
194,Archie High,Archie R-V,191-291,"12,935-17,245",Archie,MO,64725,"302 W State Rte A, Archie, Missouri 64725",(816) 293-5312,https://www.usnews.com//education/best-high-schools/missouri/districts/archie-r-v/archie-high-11496
195,Ash Grove High,Ash Grove R-Iv,191-291,"12,935-17,245",Ash Grove,MO,65604,"100 N Maple Ln, Ash Grove, Missouri 65604",(417) 751-2330,https://www.usnews.com//education/best-high-schools/missouri/districts/ash-grove-r-iv/ash-grove-high-11497
196,Bevier High,Bevier C-4,191-291,"12,935-17,245",Bevier,MO,63532,"400 Bloomington St, Bevier, Missouri 63532",(660) 773-5213,https://www.usnews.com//education/best-high-schools/missouri/districts/bevier-c-4/bevier-high-11509
197,Billings Sr. High,Billings R-Iv,191-291,"12,935-17,245",Billings,MO,65610,"118 W Mt Vernon, Billings, Missouri 65610",(417) 744-2551,https://www.usnews.com//education/best-high-schools/missouri/districts/billings-r-iv/billings-sr-high-11510
198,Bismarck R-V High,Bismarck R-V,191-291,"12,935-17,245",Bismarck,MO,63624,"Indian Trails Dr, Bismarck, Missouri 63624",(573) 734-6111,https://www.usnews.com//education/best-high-schools/missouri/districts/bismarck-r-v/bismarck-r-v-high-11511
199,Bloomfield High,Bloomfield R-Xiv,191-291,"12,935-17,245",Bloomfield,MO,63825,"505 Court St, Bloomfield, Missouri 63825",(573) 568-2146,https://www.usnews.com//education/best-high-schools/missouri/districts/bloomfield-r-xiv/bloomfield-high-11512
200,Bowling Green High,Bowling Green R-I,191-291,"12,935-17,245",Bowling Green,MO,63334,"700 West Adams Street, Bowling Green, Missouri 63334",(573) 324-5341,https://www.usnews.com//education/best-high-schools/missouri/districts/bowling-green-r-i/bowling-green-high-11522
201,Bradleyville High,Bradleyville R-I,191-291,"12,935-17,245",Bradleyville,MO,65614,"16474 N State Hwy 125, Bradleyville, Missouri 65614",(417) 796-2288,https://www.usnews.com//education/best-high-schools/missouri/districts/bradleyville-r-i/bradleyville-high-11523
202,Brookfield High,Brookfield R-III,191-291,"12,935-17,245",Brookfield,MO,64628,"124 Pershing Rd, Brookfield, Missouri 64628",(660) 258-7242,https://www.usnews.com//education/best-high-schools/missouri/districts/brookfield-r-iii/brookfield-high-11531
203,Butler High,Butler R-V,191-291,"12,935-17,245",Butler,MO,64730,"420 S Fulton St, Butler, Missouri 64730",(660) 679-6121,https://www.usnews.com//education/best-high-schools/missouri/districts/butler-r-v/butler-high-11538
204,California High,Moniteau Co. R-I,191-291,"12,935-17,245",California,MO,65018,"1501 W Buchanan St, California, Missouri 65018",(573) 796-4911,https://www.usnews.com//education/best-high-schools/missouri/districts/moniteau-co-r-i/california-high-11542
205,Cassville High,Cassville R-Iv,191-291,"12,935-17,245",Cassville,MO,65625,"1501 Main St, Cassville, Missouri 65625",(417) 847-3137,https://www.usnews.com//education/best-high-schools/missouri/districts/cassville-r-iv/cassville-high-11552
206,Chillicothe High,Chillicothe R-II,191-291,"12,935-17,245",Chillicothe,MO,64601,"2801 Hornet Rd, Chillicothe, Missouri 64601",(660) 646-0700,https://www.usnews.com//education/best-high-schools/missouri/districts/chillicothe-r-ii/chillicothe-high-11567
207,Clinton Sr. High,Clinton,191-291,"12,935-17,245",Clinton,MO,64735,"1106 S 2nd Street, Clinton, Missouri 64735",(660) 885-2247,https://www.usnews.com//education/best-high-schools/missouri/districts/clinton/clinton-sr-high-11573
208,Cole Camp High,Cole Camp R-I,191-291,"12,935-17,245",Cole Camp,MO,65325,"500 Keeney St, Cole Camp, Missouri 65325",(660) 668-3751,https://www.usnews.com//education/best-high-schools/missouri/districts/cole-camp-r-i/cole-camp-high-11574
209,Crane High,Crane R-III,191-291,"12,935-17,245",Crane,MO,65633,"209 Pirate Ln, Crane, Missouri 65633",(417) 723-5300,https://www.usnews.com//education/best-high-schools/missouri/districts/crane-r-iii/crane-high-11582
210,Crocker High,Crocker R-II,191-291,"12,935-17,245",Crocker,MO,65452,"601 N Commercial, Crocker, Missouri 65452",(573) 736-5000,https://www.usnews.com//education/best-high-schools/missouri/districts/crocker-r-ii/crocker-high-11584
211,Crystal City High,Crystal City 47,191-291,"12,935-17,245",Crystal City,MO,63019,"1100 Mississippi, Crystal City, Missouri 63019",(636) 937-2005,https://www.usnews.com//education/best-high-schools/missouri/districts/crystal-city-47/crystal-city-high-11585
212,Delasalle Charter School,Delasalle Charter School,191-291,"12,935-17,245",Kansas City,MO,64109,"3737 Troost Ave, Kansas City, Missouri 64109",(816) 561-4445,https://www.usnews.com//education/best-high-schools/missouri/districts/delasalle-charter-school/delasalle-charter-school-92064
213,Desoto Sr. High,Desoto 73,191-291,"12,935-17,245",Desoto,MO,63020,"815 Amvets Dr, Desoto, Missouri 63020",(636) 586-1050,https://www.usnews.com//education/best-high-schools/missouri/districts/desoto-73/desoto-sr-high-11588
214,Dixon High,Dixon R-I,191-291,"12,935-17,245",Dixon,MO,65459,"300 E. High School Dr, Dixon, Missouri 65459",(573) 759-7163,https://www.usnews.com//education/best-high-schools/missouri/districts/dixon-r-i/dixon-high-11594
215,Doniphan High,Doniphan R-I,191-291,"12,935-17,245",Doniphan,MO,63935,"5 Ball Park Rd, Doniphan, Missouri 63935",(573) 996-3667,https://www.usnews.com//education/best-high-schools/missouri/districts/doniphan-r-i/doniphan-high-11595
216,East Buchanan High,East Buchanan Co. C-1,191-291,"12,935-17,245",Gower,MO,64454,"100 Smith St, Gower, Missouri 64454",(816) 424-6460,https://www.usnews.com//education/best-high-schools/missouri/districts/east-buchanan-co-c-1/east-buchanan-high-11600
217,East Carter Co. R-II High,East Carter Co. R-II,191-291,"12,935-17,245",Ellsinore,MO,63937,"24 S Herren Ave, Ellsinore, Missouri 63937",(573) 322-5653,https://www.usnews.com//education/best-high-schools/missouri/districts/east-carter-co-r-ii/east-carter-co-r-ii-high-11598
218,East High School,Kansas City 33,191-291,"12,935-17,245",Kansas City,MO,64127,"1924 Van Brunt Blvd, Kansas City, Missouri 64127",(816) 418-3125,https://www.usnews.com//education/best-high-schools/missouri/districts/kansas-city-33/east-high-school-11701
219,Ellington High School,Southern Reynolds Co. R-II,191-291,"12,935-17,245",Ellington,MO,63638,"1 School St, Ellington, Missouri 63638",(573) 663-2291,https://www.usnews.com//education/best-high-schools/missouri/districts/southern-reynolds-co-r-ii/ellington-high-school-11916
220,Elsberry High,Elsberry R-II,191-291,"12,935-17,245",Elsberry,MO,63343,"138 Tomahawk Dr, Elsberry, Missouri 63343",(573) 898-5554,https://www.usnews.com//education/best-high-schools/missouri/districts/elsberry-r-ii/elsberry-high-11604
221,Eugene High,Cole Co. R-V,191-291,"12,935-17,245",Eugene,MO,65032,"14803 Hwy 17, Eugene, Missouri 65032",(573) 498-4001,https://www.usnews.com//education/best-high-schools/missouri/districts/cole-co-r-v/eugene-high-11606
222,Exeter High,Exeter R-Vi,191-291,"12,935-17,245",Exeter,MO,65647,"101 Locust Street, Exeter, Missouri 65647",(417) 835-3745,https://www.usnews.com//education/best-high-schools/missouri/districts/exeter-r-vi/exeter-high-11609
223,Gallatin High,Gallatin R-V,191-291,"12,935-17,245",Gallatin,MO,64640,"602 S Olive, Gallatin, Missouri 64640",(660) 663-2171,https://www.usnews.com//education/best-high-schools/missouri/districts/gallatin-r-v/gallatin-high-11630
224,Glasgow High,Glasgow,191-291,"12,935-17,245",Glasgow,MO,65254,"860 Randolph, Glasgow, Missouri 65254",(660) 338-2012,https://www.usnews.com//education/best-high-schools/missouri/districts/glasgow/glasgow-high-11634
225,Grand Center Arts Academy High,Grand Center Arts Academy,191-291,"12,935-17,245",St. Louis,MO,63103,"711 North Grand Avenue, St. Louis, Missouri 63103",(314) 533-1791,https://www.usnews.com//education/best-high-schools/missouri/districts/grand-center-arts-academy/grand-center-arts-academy-high-154672
226,Harrisburg High,Harrisburg R-Viii,191-291,"12,935-17,245",Harrisburg,MO,65256,"801 S Harris, Harrisburg, Missouri 65256",(573) 875-5602,https://www.usnews.com//education/best-high-schools/missouri/districts/harrisburg-r-viii/harrisburg-high-11650
227,Harrisonville High,Harrisonville R-Ix,191-291,"12,935-17,245",Harrisonville,MO,64701,"1504 E Elm, Harrisonville, Missouri 64701",(816) 380-3273,https://www.usnews.com//education/best-high-schools/missouri/districts/harrisonville-r-ix/harrisonville-high-11651
228,Hillcrest High,Springfield R-Xii,191-291,"12,935-17,245",Springfield,MO,65803,"3319 N Grant, Springfield, Missouri 65803",(417) 523-8000,https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/hillcrest-high-11924
229,Hogan Preparatory Academy,Hogan Preparatory Academy,191-291,"12,935-17,245",Kansas City,MO,64131,"1221 E Meyer Blvd, Kansas City, Missouri 64131",(816) 444-3464,https://www.usnews.com//education/best-high-schools/missouri/districts/hogan-preparatory-academy/hogan-preparatory-academy-11468
230,Holden High,Holden R-III,191-291,"12,935-17,245",Holden,MO,64040,"1901 S Main, Holden, Missouri 64040",(816) 732-5523,https://www.usnews.com//education/best-high-schools/missouri/districts/holden-r-iii/holden-high-11668
231,Houston High,Houston R-I,191-291,"12,935-17,245",Houston,MO,65483,"423 W Pine, Houston, Missouri 65483",(417) 967-3024,https://www.usnews.com//education/best-high-schools/missouri/districts/houston-r-i/houston-high-11670
232,King City High,King City R-I,191-291,"12,935-17,245",King City,MO,64463,"300 N Grand, King City, Missouri 64463",(660) 535-4319,https://www.usnews.com//education/best-high-schools/missouri/districts/king-city-r-i/king-city-high-11710
233,Kingsville High,Kingsville R-I,191-291,"12,935-17,245",Kingsville,MO,64061,"101 E Adriatic, Kingsville, Missouri 64061",(816) 597-3422,https://www.usnews.com//education/best-high-schools/missouri/districts/kingsville-r-i/kingsville-high-11711
