,School Name,City,Full Address,Zipcode,Phone Number,Distrct,MO Raniking,National Ranking,School page link (US News))
117,Sullivan Sr. High,"Sullivan, MO","1073 E Vine St, Sullivan, Missouri 63080",63080,(573) 468-5171,Sullivan,118,"9,468",https://www.usnews.com//education/best-high-schools/missouri/districts/sullivan/sullivan-sr-high-11962
118,Valley Park Sr. High,"Valley Park, MO","1 Main St, Valley Park, Missouri 63088",63088,(636) 923-3613,Valley Park,119,"9,483",https://www.usnews.com//education/best-high-schools/missouri/districts/valley-park/valley-park-sr-high-11979
119,Fredericktown High,"Fredericktown, MO","805 E Hwy 72, Fredericktown, Missouri 63645",63645,(573) 783-3628,Fredericktown R-I,120,"9,484",https://www.usnews.com//education/best-high-schools/missouri/districts/fredericktown-r-i/fredericktown-high-11626
120,Kickapoo High,"Springfield, MO","3710 S Jefferson, Springfield, Missouri 65807",65807,(417) 523-8500,Springfield R-Xii,121,"9,527",https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/kickapoo-high-11925
121,Southern Boone High,"Ashland, MO","14520 Crump Ln, Ashland, Missouri 65010",65010,(573) 657-2144,Southern Boone Co. R-I,122,"9,615",https://www.usnews.com//education/best-high-schools/missouri/districts/southern-boone-co-r-i/southern-boone-high-11915
122,Couch High,"Myrtle, MO","Rte 1 Box 1187, Myrtle, Missouri 65778",65778,(417) 938-4212,Couch R-I,123,"9,791",https://www.usnews.com//education/best-high-schools/missouri/districts/couch-r-i/couch-high-11580
123,McDonald County High,"Anderson, MO","100 Mustang Dr, Anderson, Missouri 64831",64831,(417) 845-3322,Mcdonald Co. R-I,124,"9,816",https://www.usnews.com//education/best-high-schools/missouri/districts/mcdonald-co-r-i/mcdonald-county-high-11762
124,Pilot Grove High,"Pilot Grove, MO","107 School St, Pilot Grove, Missouri 65276",65276,(660) 834-4415,Pilot Grove C-4,125,"10,019",https://www.usnews.com//education/best-high-schools/missouri/districts/pilot-grove-c-4/pilot-grove-high-11845
125,Hermann High,"Hermann, MO","176 Bearcat Crossing, Hermann, Missouri 65041",65041,(573) 486-5425,Gasconade Co. R-I,126,"10,037",https://www.usnews.com//education/best-high-schools/missouri/districts/gasconade-co-r-i/hermann-high-11658
126,Knox Co. High,"Edina, MO","55701 State Hwy 6, Edina, Missouri 63537",63537,(660) 397-2231,Knox Co. R-I,127,"10,093",https://www.usnews.com//education/best-high-schools/missouri/districts/knox-co-r-i/knox-co-high-11601
127,Eldon High,"Eldon, MO","101 S Pine St, Eldon, Missouri 65026",65026,(573) 392-8010,Eldon R-I,128,"10,119",https://www.usnews.com//education/best-high-schools/missouri/districts/eldon-r-i/eldon-high-11603
128,Potosi High,"Potosi, MO","1 Trojan Dr, Potosi, Missouri 63664",63664,(573) 438-2156,Potosi R-III,129,"10,136",https://www.usnews.com//education/best-high-schools/missouri/districts/potosi-r-iii/potosi-high-11854
129,North Shelby High,"Shelbyville, MO","3071 Hwy 15, Shelbyville, Missouri 63469",63469,(573) 633-2410,North Shelby,130,"10,149",https://www.usnews.com//education/best-high-schools/missouri/districts/north-shelby/north-shelby-high-11904
130,Pacific High,"Pacific, MO","425 Indian Warpath Dr, Pacific, Missouri 63069",63069,(636) 271-1414,Meramec Valley R-III,131,"10,271",https://www.usnews.com//education/best-high-schools/missouri/districts/meramec-valley-r-iii/pacific-high-11826
131,Festus Sr. High,"Festus, MO","501 Westwind Dr, Festus, Missouri 63028",63028,(636) 937-5410,Festus R-Vi,132,"10,297",https://www.usnews.com//education/best-high-schools/missouri/districts/festus-r-vi/festus-sr-high-11619
132,Neelyville High,"Neelyville, MO","289 Broadway St, Neelyville, Missouri 63954",63954,(573) 989-3815,Neelyville R-Iv,133,"10,338",https://www.usnews.com//education/best-high-schools/missouri/districts/neelyville-r-iv/neelyville-high-11785
133,Warrensburg High,"Warrensburg, MO","1411 S Ridgeview Dr, Warrensburg, Missouri 64093",64093,(660) 747-2262,Warrensburg R-Vi,134,"10,435",https://www.usnews.com//education/best-high-schools/missouri/districts/warrensburg-r-vi/warrensburg-high-11988
134,Owensville High,"Owensville, MO","3336 Hwy 19, Owensville, Missouri 65066",65066,(573) 437-2174,Gasconade Co. R-II,135,"10,442",https://www.usnews.com//education/best-high-schools/missouri/districts/gasconade-co-r-ii/owensville-high-11823
135,Marshfield High,"Marshfield, MO","370 State Hwy Dd, Marshfield, Missouri 65706",65706,(417) 859-2120,Marshfield R-I,136,"10,455",https://www.usnews.com//education/best-high-schools/missouri/districts/marshfield-r-i/marshfield-high-11759
136,Grandview Sr. High,"Grandview, MO","2300 High Grove Rd, Grandview, Missouri 64030",64030,(816) 316-5800,Grandview C-4,137,"10,474",https://www.usnews.com//education/best-high-schools/missouri/districts/grandview-c-4/grandview-sr-high-11637
137,New Haven High,"New Haven, MO","100 Park Dr, New Haven, Missouri 63068",63068,(573) 237-2629,New Haven,138,"10,491",https://www.usnews.com//education/best-high-schools/missouri/districts/new-haven/new-haven-high-11792
138,Community High,"Laddonia, MO","35063 Hwy Bb, Laddonia, Missouri 63352",63352,(855) 708-7567,Community R-Vi,139,"10,514",https://www.usnews.com//education/best-high-schools/missouri/districts/community-r-vi/community-high-11576
139,Jefferson City High,"Jefferson City, MO","609 Union, Jefferson City, Missouri 65101",65101,(573) 659-3050,Jefferson City,140,"10,518",https://www.usnews.com//education/best-high-schools/missouri/districts/jefferson-city/jefferson-city-high-11689
140,Wright City High,"Wright City, MO","520 Westwoods Rd, Wright City, Missouri 63390",63390,(636) 745-7500,Wright City R-II Of Warren Co.,141,"10,520",https://www.usnews.com//education/best-high-schools/missouri/districts/wright-city-r-ii-of-warren-co/wright-city-high-12017
141,Eminence High,"Eminence, MO","505 South 6th Street, Eminence, Missouri 65466",65466,(573) 226-3252,Eminence R-I,142,"10,580",https://www.usnews.com//education/best-high-schools/missouri/districts/eminence-r-i/eminence-high-11605
142,Morgan Co. High,"Versailles, MO","913 W Newton, Versailles, Missouri 65084",65084,(573) 378-4697,Morgan Co. R-II,143,"10,621",https://www.usnews.com//education/best-high-schools/missouri/districts/morgan-co-r-ii/morgan-co-high-11984
143,Blair Oaks High,"Jefferson City, MO","6124 Falcon Ln, Jefferson City, Missouri 65101",65101,(573) 635-8514,Blair Oaks R-II,144,"10,726",https://www.usnews.com//education/best-high-schools/missouri/districts/blair-oaks-r-ii/blair-oaks-high-11575
144,Orchard Farm Sr. High,"St Charles, MO","2175 Hwy V, St Charles, Missouri 63301",63301,(636) 250-5400,Orchard Farm R-V,145,"10,782",https://www.usnews.com//education/best-high-schools/missouri/districts/orchard-farm-r-v/orchard-farm-sr-high-11817
145,Niangua High,"Niangua, MO","301 Rumsey St, Niangua, Missouri 65713",65713,(417) 473-6101,Niangua R-V,146,"10,798",https://www.usnews.com//education/best-high-schools/missouri/districts/niangua-r-v/niangua-high-11795
146,Bakersfield High,"Bakersfield, MO","357 State Hwy O, Bakersfield, Missouri 65609",65609,(417) 284-3744,Bakersfield R-Iv,147,"10,810",https://www.usnews.com//education/best-high-schools/missouri/districts/bakersfield-r-iv/bakersfield-high-11501
147,South Callaway High,"Mokane, MO","10135 State Rd C, Mokane, Missouri 65059",65059,(573) 676-5225,South Callaway Co. R-II,148,"10,831",https://www.usnews.com//education/best-high-schools/missouri/districts/south-callaway-co-r-ii/south-callaway-high-11911
148,Salem Sr. High,"Salem, MO","1400 Tiger Pride Dr, Salem, Missouri 65560",65560,(573) 729-6642,Salem R-80,149,"10,846",https://www.usnews.com//education/best-high-schools/missouri/districts/salem-r-80/salem-sr-high-11891
149,Green City High,"Green City, MO","301 N East St, Green City, Missouri 63545",63545,(660) 874-4127,Green City R-I,150,"10,910",https://www.usnews.com//education/best-high-schools/missouri/districts/green-city-r-i/green-city-high-11639
150,Carl Junction High School,"Carl Junction, MO","206 S Roney, Carl Junction, Missouri 64834",64834,(417) 649-7081,Carl Junction R-I,151,"10,936",https://www.usnews.com//education/best-high-schools/missouri/districts/carl-junction-r-i/carl-junction-high-school-11548
151,Mansfield High,"Mansfield, MO","315 W Ohio St, Mansfield, Missouri 65704",65704,(417) 924-3236,Mansfield R-Iv,152,"10,961",https://www.usnews.com//education/best-high-schools/missouri/districts/mansfield-r-iv/mansfield-high-11751
152,Union High,"Union, MO","1217 West Main, Union, Missouri 63084",63084,(636) 583-2513,Union R-Xi,153,"10,974",https://www.usnews.com//education/best-high-schools/missouri/districts/union-r-xi/union-high-11976
153,Morgan Co. R-I High,"Stover, MO","701 N Oak St, Stover, Missouri 65078",65078,(573) 377-2218,Morgan Co. R-I,154,"11,090",https://www.usnews.com//education/best-high-schools/missouri/districts/morgan-co-r-i/morgan-co-r-i-high-11959
154,Alton High,"Alton, MO","Route 2 Box 2180, Alton, Missouri 65606",65606,(417) 778-7215,Alton R-Iv,155,"11,128",https://www.usnews.com//education/best-high-schools/missouri/districts/alton-r-iv/alton-high-11493
155,Northwest High,"Hughesville, MO","16215 Hwy H, Hughesville, Missouri 65334",65334,(660) 827-0774,Pettis Co. R-V,156,"11,197",https://www.usnews.com//education/best-high-schools/missouri/districts/pettis-co-r-v/northwest-high-11671
156,Benton High,"St Joseph, MO","5655 S Fourth, St Joseph, Missouri 64504",64504,(816) 671-4030,St. Joseph,157,"11,277",https://www.usnews.com//education/best-high-schools/missouri/districts/st-joseph/benton-high-11887
157,Jefferson High School,"Festus, MO","7 Blue Jay Way, Festus, Missouri 63028",63028,(636) 933-6900,Jefferson Co. R-Vii,158,"11,382",https://www.usnews.com//education/best-high-schools/missouri/districts/jefferson-co-r-vii/jefferson-high-school-11691
158,La Plata High,"La Plata, MO","201 W Moore, La Plata, Missouri 63549",63549,(660) 332-7001,La Plata R-II,159,"11,406",https://www.usnews.com//education/best-high-schools/missouri/districts/la-plata-r-ii/la-plata-high-11717
159,Stockton High,"Stockton, MO","#1 Tiger Dr, Stockton, Missouri 65785",65785,(417) 276-8806,Stockton R-I,160,"11,551",https://www.usnews.com//education/best-high-schools/missouri/districts/stockton-r-i/stockton-high-11957
160,Bernie High,"Bernie, MO","516 W Main, Bernie, Missouri 63822",63822,(573) 293-5334,Bernie R-Xiii,161,"11,585",https://www.usnews.com//education/best-high-schools/missouri/districts/bernie-r-xiii/bernie-high-11508
161,North Harrison High,"Eagleville, MO","12023 Fir St, Eagleville, Missouri 64442",64442,(660) 867-5221,North Harrison R-III,162,"11,619",https://www.usnews.com//education/best-high-schools/missouri/districts/north-harrison-r-iii/north-harrison-high-11802
162,Van-Far Jr./Sr. High,"Vandalia, MO","2200 Hwy 54 West, Vandalia, Missouri 63382",63382,(573) 594-6442,Van-Far R-I,163,"11,668",https://www.usnews.com//education/best-high-schools/missouri/districts/van-far-r-i/van-far-jr-sr-high-11982
163,West County High,"Park Hills, MO","768 Hwy M, Park Hills, Missouri 63601",63601,(573) 562-7521,West St. Francois Co. R-Iv,164,"11,718",https://www.usnews.com//education/best-high-schools/missouri/districts/west-st-francois-co-r-iv/west-county-high-11723
164,Clearwater High,"Piedmont, MO","Rte 4 Box 1004, Piedmont, Missouri 63957",63957,(573) 223-4524,Clearwater R-I,165,"11,744",https://www.usnews.com//education/best-high-schools/missouri/districts/clearwater-r-i/clearwater-high-11570
165,Blue Eye High,"Blue Eye, MO","658 State Hwy Ee, Blue Eye, Missouri 65611",65611,(417) 779-5331,Blue Eye R-V,166,"11,759",https://www.usnews.com//education/best-high-schools/missouri/districts/blue-eye-r-v/blue-eye-high-11513
166,Skyline High,"Urbana, MO","Rte 1 Box 838, Urbana, Missouri 65767",65767,(417) 993-4226,Hickory Co. R-I,167,"11,784",https://www.usnews.com//education/best-high-schools/missouri/districts/hickory-co-r-i/skyline-high-11660
167,Lamar High,"Lamar, MO","202 W 7th, Lamar, Missouri 64759",64759,(417) 682-5571,Lamar R-I,168,"11,811",https://www.usnews.com//education/best-high-schools/missouri/districts/lamar-r-i/lamar-high-11719
168,Crest Ridge High,"Centerview, MO","92 Nw 58 Hwy, Centerview, Missouri 64019",64019,(660) 656-3391,Johnson Co. R-Vii,169,"11,833",https://www.usnews.com//education/best-high-schools/missouri/districts/johnson-co-r-vii/crest-ridge-high-11555
169,Lathrop High,"Lathrop, MO","102 N School Dr, Lathrop, Missouri 64465",64465,(816) 528-7400,Lathrop R-II,170,"11,845",https://www.usnews.com//education/best-high-schools/missouri/districts/lathrop-r-ii/lathrop-high-11721
170,Golden City High,"Golden City, MO","1208 Walnut St, Golden City, Missouri 64748",64748,(417) 537-8311,Golden City R-III,171,"11,934",https://www.usnews.com//education/best-high-schools/missouri/districts/golden-city-r-iii/golden-city-high-11635
171,Spokane High,"Spokane, MO","1123 Spokane Rd, Spokane, Missouri 65754",65754,(417) 443-3502,Spokane R-Vii,172,"11,937",https://www.usnews.com//education/best-high-schools/missouri/districts/spokane-r-vii/spokane-high-11921
172,Montgomery Co. High,"Montgomery City, MO","394 N Hwy 19, Montgomery City, Missouri 63361",63361,(573) 564-2213,Montgomery Co. R-II,173,"11,940",https://www.usnews.com//education/best-high-schools/missouri/districts/montgomery-co-r-ii/montgomery-co-high-11775
173,Laquey R-V High,"Laquey, MO","27600 Hwy Aa, Laquey, Missouri 65534",65534,(573) 765-4051,Laquey R-V,174,"11,996",https://www.usnews.com//education/best-high-schools/missouri/districts/laquey-r-v/laquey-r-v-high-11720
174,St. Elizabeth High,"St Elizabeth, MO","Hwy 52, St Elizabeth, Missouri 65075",65075,(573) 493-2246,St. Elizabeth R-Iv,175,"12,120",https://www.usnews.com//education/best-high-schools/missouri/districts/st-elizabeth-r-iv/st-elizabeth-high-11933
175,Nevada High,"Nevada, MO","800 W Hickory St, Nevada, Missouri 64772",64772,(417) 448-2020,Nevada R-V,176,"12,150",https://www.usnews.com//education/best-high-schools/missouri/districts/nevada-r-v/nevada-high-11787
176,Stoutland High,"Stoutland, MO","7584 State Road T, Stoutland, Missouri 65567",65567,(417) 286-3711,Stoutland R-II,177,"12,182",https://www.usnews.com//education/best-high-schools/missouri/districts/stoutland-r-ii/stoutland-high-11958
177,Diamond High,"Diamond, MO","401 S Main, Diamond, Missouri 64840",64840,(417) 325-5188,Diamond R-Iv,178,"12,184",https://www.usnews.com//education/best-high-schools/missouri/districts/diamond-r-iv/diamond-high-11593
178,Twin Rivers High,"Broseley, MO","9327 Hwy 51, Broseley, Missouri 63932",63932,(573) 328-4730,Twin Rivers R-X,179,"12,213",https://www.usnews.com//education/best-high-schools/missouri/districts/twin-rivers-r-x/twin-rivers-high-11975
179,Parkview High,"Springfield, MO","516 W Meadowmere, Springfield, Missouri 65807",65807,(417) 523-9200,Springfield R-Xii,180,"12,318",https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/parkview-high-11926
180,Hollister High,"Hollister, MO","2112 State Hwy Bb, Hollister, Missouri 65672",65672,(417) 243-4045,Hollister R-V,181,"12,333",https://www.usnews.com//education/best-high-schools/missouri/districts/hollister-r-v/hollister-high-11669
181,Mt. Vernon High,"Mt Vernon, MO","400 W Hwy 174, Mt Vernon, Missouri 65712",65712,(417) 466-7526,Mt. Vernon R-V,182,"12,454",https://www.usnews.com//education/best-high-schools/missouri/districts/mt-vernon-r-v/mt-vernon-high-11781
182,Iberia High,"Iberia, MO","201 Pemberton Dr, Iberia, Missouri 65486",65486,(573) 793-2228,Iberia R-V,183,"12,481",https://www.usnews.com//education/best-high-schools/missouri/districts/iberia-r-v/iberia-high-11675
183,Fatima High,"Westphalia, MO","143 E Main, Westphalia, Missouri 65085",65085,(573) 455-2550,Osage Co. R-III,184,"12,501",https://www.usnews.com//education/best-high-schools/missouri/districts/osage-co-r-iii/fatima-high-12005
184,Ste. Genevieve Sr. High,"Ste Genevieve, MO","715 Washington St, Ste Genevieve, Missouri 63670",63670,(573) 883-4500,Ste. Genevieve Co. R-II,185,"12,520",https://www.usnews.com//education/best-high-schools/missouri/districts/ste-genevieve-co-r-ii/ste-genevieve-sr-high-11953
185,Green Ridge High,"Green Ridge, MO","401 W Pettis St, Green Ridge, Missouri 65332",65332,(660) 527-3315,Green Ridge R-Viii,186,"12,537",https://www.usnews.com//education/best-high-schools/missouri/districts/green-ridge-r-viii/green-ridge-high-11640
186,Raytown South Sr. High,"Raytown, MO","8211 Sterling Ave, Raytown, Missouri 64138",64138,(816) 268-7330,Raytown C-2,187,"12,554",https://www.usnews.com//education/best-high-schools/missouri/districts/raytown-c-2/raytown-south-sr-high-11862
187,Greenfield High,"Greenfield, MO","410 W College, Greenfield, Missouri 65661",65661,(417) 637-5328,Greenfield R-Iv,188,"12,619",https://www.usnews.com//education/best-high-schools/missouri/districts/greenfield-r-iv/greenfield-high-11641
188,Charleston High,"Charleston, MO","606 S. Thorn St, Charleston, Missouri 63834",63834,(573) 683-3761,Charleston R-I,189,"12,621",https://www.usnews.com//education/best-high-schools/missouri/districts/charleston-r-i/charleston-high-11565
189,Sikeston Sr. High,"Sikeston, MO","200 Pine St, Sikeston, Missouri 63801",63801,(573) 472-8856,Sikeston R-6,190,"12,797",https://www.usnews.com//education/best-high-schools/missouri/districts/sikeston-r-6/sikeston-sr-high-11906
190,Adair Co. High,"Novinger, MO","600 Rombauer Ave, Novinger, Missouri 63559",63559,(660) 488-6411,Adair Co. R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/adair-co-r-i/adair-co-high-11812
191,Adrian Sr. High,"Adrian, MO","601 N Houston, Adrian, Missouri 64720",64720,(816) 297-4460,Adrian R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/adrian-r-iii/adrian-sr-high-11488
192,Alta Vista Charter School,"Kansas City, MO","1524 Paseo Blvd, Kansas City, Missouri 64108",64108,(816) 471-2582,Alta Vista Charter Sch.,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/alta-vista-charter-sch/alta-vista-charter-school-11474
193,Appleton City High,"Appleton City, MO","408 W 4th, Appleton City, Missouri 64724",64724,(660) 476-2118,Appleton City R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/appleton-city-r-ii/appleton-city-high-11494
194,Archie High,"Archie, MO","302 W State Rte A, Archie, Missouri 64725",64725,(816) 293-5312,Archie R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/archie-r-v/archie-high-11496
195,Ash Grove High,"Ash Grove, MO","100 N Maple Ln, Ash Grove, Missouri 65604",65604,(417) 751-2330,Ash Grove R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/ash-grove-r-iv/ash-grove-high-11497
196,Bevier High,"Bevier, MO","400 Bloomington St, Bevier, Missouri 63532",63532,(660) 773-5213,Bevier C-4,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bevier-c-4/bevier-high-11509
197,Billings Sr. High,"Billings, MO","118 W Mt Vernon, Billings, Missouri 65610",65610,(417) 744-2551,Billings R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/billings-r-iv/billings-sr-high-11510
198,Bismarck R-V High,"Bismarck, MO","Indian Trails Dr, Bismarck, Missouri 63624",63624,(573) 734-6111,Bismarck R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bismarck-r-v/bismarck-r-v-high-11511
199,Bloomfield High,"Bloomfield, MO","505 Court St, Bloomfield, Missouri 63825",63825,(573) 568-2146,Bloomfield R-Xiv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bloomfield-r-xiv/bloomfield-high-11512
200,Bowling Green High,"Bowling Green, MO","700 West Adams Street, Bowling Green, Missouri 63334",63334,(573) 324-5341,Bowling Green R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bowling-green-r-i/bowling-green-high-11522
201,Bradleyville High,"Bradleyville, MO","16474 N State Hwy 125, Bradleyville, Missouri 65614",65614,(417) 796-2288,Bradleyville R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/bradleyville-r-i/bradleyville-high-11523
202,Brookfield High,"Brookfield, MO","124 Pershing Rd, Brookfield, Missouri 64628",64628,(660) 258-7242,Brookfield R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/brookfield-r-iii/brookfield-high-11531
203,Butler High,"Butler, MO","420 S Fulton St, Butler, Missouri 64730",64730,(660) 679-6121,Butler R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/butler-r-v/butler-high-11538
204,California High,"California, MO","1501 W Buchanan St, California, Missouri 65018",65018,(573) 796-4911,Moniteau Co. R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/moniteau-co-r-i/california-high-11542
205,Cassville High,"Cassville, MO","1501 Main St, Cassville, Missouri 65625",65625,(417) 847-3137,Cassville R-Iv,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/cassville-r-iv/cassville-high-11552
206,Chillicothe High,"Chillicothe, MO","2801 Hornet Rd, Chillicothe, Missouri 64601",64601,(660) 646-0700,Chillicothe R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/chillicothe-r-ii/chillicothe-high-11567
207,Clinton Sr. High,"Clinton, MO","1106 S 2nd Street, Clinton, Missouri 64735",64735,(660) 885-2247,Clinton,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/clinton/clinton-sr-high-11573
208,Cole Camp High,"Cole Camp, MO","500 Keeney St, Cole Camp, Missouri 65325",65325,(660) 668-3751,Cole Camp R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/cole-camp-r-i/cole-camp-high-11574
209,Crane High,"Crane, MO","209 Pirate Ln, Crane, Missouri 65633",65633,(417) 723-5300,Crane R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/crane-r-iii/crane-high-11582
210,Crocker High,"Crocker, MO","601 N Commercial, Crocker, Missouri 65452",65452,(573) 736-5000,Crocker R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/crocker-r-ii/crocker-high-11584
211,Crystal City High,"Crystal City, MO","1100 Mississippi, Crystal City, Missouri 63019",63019,(636) 937-2005,Crystal City 47,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/crystal-city-47/crystal-city-high-11585
212,Delasalle Charter School,"Kansas City, MO","3737 Troost Ave, Kansas City, Missouri 64109",64109,(816) 561-4445,Delasalle Charter School,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/delasalle-charter-school/delasalle-charter-school-92064
213,Desoto Sr. High,"Desoto, MO","815 Amvets Dr, Desoto, Missouri 63020",63020,(636) 586-1050,Desoto 73,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/desoto-73/desoto-sr-high-11588
214,Dixon High,"Dixon, MO","300 E. High School Dr, Dixon, Missouri 65459",65459,(573) 759-7163,Dixon R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/dixon-r-i/dixon-high-11594
215,Doniphan High,"Doniphan, MO","5 Ball Park Rd, Doniphan, Missouri 63935",63935,(573) 996-3667,Doniphan R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/doniphan-r-i/doniphan-high-11595
216,East Buchanan High,"Gower, MO","100 Smith St, Gower, Missouri 64454",64454,(816) 424-6460,East Buchanan Co. C-1,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/east-buchanan-co-c-1/east-buchanan-high-11600
217,East Carter Co. R-II High,"Ellsinore, MO","24 S Herren Ave, Ellsinore, Missouri 63937",63937,(573) 322-5653,East Carter Co. R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/east-carter-co-r-ii/east-carter-co-r-ii-high-11598
218,East High School,"Kansas City, MO","1924 Van Brunt Blvd, Kansas City, Missouri 64127",64127,(816) 418-3125,Kansas City 33,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/kansas-city-33/east-high-school-11701
219,Ellington High School,"Ellington, MO","1 School St, Ellington, Missouri 63638",63638,(573) 663-2291,Southern Reynolds Co. R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/southern-reynolds-co-r-ii/ellington-high-school-11916
220,Elsberry High,"Elsberry, MO","138 Tomahawk Dr, Elsberry, Missouri 63343",63343,(573) 898-5554,Elsberry R-II,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/elsberry-r-ii/elsberry-high-11604
221,Eugene High,"Eugene, MO","14803 Hwy 17, Eugene, Missouri 65032",65032,(573) 498-4001,Cole Co. R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/cole-co-r-v/eugene-high-11606
222,Exeter High,"Exeter, MO","101 Locust Street, Exeter, Missouri 65647",65647,(417) 835-3745,Exeter R-Vi,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/exeter-r-vi/exeter-high-11609
223,Gallatin High,"Gallatin, MO","602 S Olive, Gallatin, Missouri 64640",64640,(660) 663-2171,Gallatin R-V,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/gallatin-r-v/gallatin-high-11630
224,Glasgow High,"Glasgow, MO","860 Randolph, Glasgow, Missouri 65254",65254,(660) 338-2012,Glasgow,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/glasgow/glasgow-high-11634
225,Grand Center Arts Academy High,"St. Louis, MO","711 North Grand Avenue, St. Louis, Missouri 63103",63103,(314) 533-1791,Grand Center Arts Academy,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/grand-center-arts-academy/grand-center-arts-academy-high-154672
226,Harrisburg High,"Harrisburg, MO","801 S Harris, Harrisburg, Missouri 65256",65256,(573) 875-5602,Harrisburg R-Viii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/harrisburg-r-viii/harrisburg-high-11650
227,Harrisonville High,"Harrisonville, MO","1504 E Elm, Harrisonville, Missouri 64701",64701,(816) 380-3273,Harrisonville R-Ix,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/harrisonville-r-ix/harrisonville-high-11651
228,Hillcrest High,"Springfield, MO","3319 N Grant, Springfield, Missouri 65803",65803,(417) 523-8000,Springfield R-Xii,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/springfield-r-xii/hillcrest-high-11924
229,Hogan Preparatory Academy,"Kansas City, MO","1221 E Meyer Blvd, Kansas City, Missouri 64131",64131,(816) 444-3464,Hogan Preparatory Academy,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/hogan-preparatory-academy/hogan-preparatory-academy-11468
230,Holden High,"Holden, MO","1901 S Main, Holden, Missouri 64040",64040,(816) 732-5523,Holden R-III,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/holden-r-iii/holden-high-11668
231,Houston High,"Houston, MO","423 W Pine, Houston, Missouri 65483",65483,(417) 967-3024,Houston R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/houston-r-i/houston-high-11670
232,King City High,"King City, MO","300 N Grand, King City, Missouri 64463",64463,(660) 535-4319,King City R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/king-city-r-i/king-city-high-11710
233,Kingsville High,"Kingsville, MO","101 E Adriatic, Kingsville, Missouri 64061",64061,(816) 597-3422,Kingsville R-I,191-291,"12,935-17,245",https://www.usnews.com//education/best-high-schools/missouri/districts/kingsville-r-i/kingsville-high-11711
